filename,start,duration,meanF0,stdevF0,hnr,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer
AbhaDawesar_2013G,12.49,6.130000000000001,261.486134556662,59.57383836748572,14.751410926467026,0.013156881049925784,5.04551504215828e-05,0.0061847557643234016,0.006910545717807735,0.018554267292970203,0.08124584839255576,0.90349578543599,0.03276566105029397,0.04469485725696313,0.07425127947556581,0.09829698315088192
AbhaDawesar_2013G,18.37,5.140000000000001,219.7455517064122,31.710623716645895,12.895753003846211,0.01599459637717294,7.301065022804049e-05,0.006180081691352004,0.006644056081495963,0.01854024507405601,0.10107554509515437,1.0652059740187683,0.03815821271827412,0.05524228697334149,0.09370630757695889,0.11447463815482235
AbhaDawesar_2013G,23.23,6.440000000000001,260.92598053243637,53.658174750049874,14.273375962597733,0.015106151147303364,5.804897698439907e-05,0.005816832278313065,0.006617386808784627,0.017450496834939197,0.0830713161965184,0.8786148311249027,0.0313746952904726,0.04509797748389429,0.07801419789426595,0.0941240858714178
AbhaDawesar_2013G,29.99,8.080000000000002,240.0759257572726,50.131539723871995,14.66388591692861,0.013926989773278359,5.811915894358259e-05,0.004965362331379304,0.005844094464132148,0.014896086994137914,0.09075404176882693,0.9031910942539034,0.03422340582643379,0.053490712940226816,0.10571684941993732,0.10267021747930136
AbhaDawesar_2013G,37.7,8.029999999999994,237.977350966655,34.07540679995251,13.74095556884047,0.01752386121030736,7.396240152458467e-05,0.00727666719433635,0.008240727253441025,0.02183000158300905,0.0939948893825209,0.9204805935462117,0.03631694156630207,0.0506182490425823,0.09159816761251995,0.10895082469890621
AbhaDawesar_2013G,45.56,9.349999999999994,231.7327097849702,41.07556096540345,14.173238419385974,0.01512972529041822,6.55153820651992e-05,0.00608511066105709,0.007103028026644884,0.01825533198317127,0.08288688261794792,0.8758154022406826,0.031497943737899464,0.044792710157638874,0.08192789239835047,0.09449383121369839
AbhaDawesar_2013G,55.13,14.749999999999993,266.36007980853884,44.96253056552302,14.7602172834832,0.016149400237059606,6.110499104174954e-05,0.0057834151435217545,0.0066062217919885,0.017350245430565264,0.09908896024067368,0.9772847962701676,0.03461170579178077,0.04950133589321213,0.0959177649721529,0.10383511737534232
AbhaDawesar_2013G,69.45,9.679999999999993,253.71688844858,34.663544347273024,16.128355854056313,0.013539361124353194,5.3674680550296064e-05,0.005671086080300448,0.006651307279373896,0.017013258240901344,0.08503806998847903,0.8541470889191796,0.030044164976263846,0.041410409581126434,0.07913269887822247,0.09013249492879154
AbhaDawesar_2013G,80.08,1.8100000000000023,262.11910032499156,62.47932707632499,13.148265980943771,0.016799984863174862,6.400157757992323e-05,0.006708491531413443,0.008346732547242483,0.020125474594240328,0.09158186338101346,1.045613537768692,0.035388514737245524,0.04624117267778858,0.08966462304030837,0.10616554421173657
AbhaDawesar_2013G,81.4,5.939999999999998,246.35181350849035,55.05434705962543,15.322059817033706,0.014880271935102262,6.0803797392319383e-05,0.0058325298612016425,0.0065623714685065435,0.01749758958360493,0.08780895946266074,0.8770631694189613,0.031592608089092984,0.04767150134065468,0.08616240456433635,0.09477782426727896
AbhaDawesar_2013G,87.34,5.200000000000003,259.84796013420566,66.78205879761207,14.468643487668606,0.014658731759062123,5.680272011684122e-05,0.005836001960896561,0.006335802532629909,0.017508005882689682,0.09411032030919407,0.8875644114683876,0.039500712016075794,0.05294363276144731,0.08916319420197487,0.11850213604822737
AbhaDawesar_2013G,92.14,2.8100000000000023,239.33250417026716,29.80472112918108,15.162678906134547,0.012346288381582141,5.195265623241088e-05,0.005169467123293763,0.006329142762747787,0.015508401369881289,0.08860986981755568,0.8912034807461159,0.03699281366141233,0.052015348888736795,0.10161795022235444,0.11097844098423698
AbhaDawesar_2013G,94.72,5.299999999999997,229.6090040770823,28.218695595925848,14.461353081625033,0.015014385076179443,6.569074374732243e-05,0.005872165171820435,0.006794139056788191,0.017616495515461305,0.10056531758851942,0.942301027766628,0.0385486465923316,0.056825547251730314,0.11369951915096334,0.1156459397769948
AbhaDawesar_2013G,100.1,1.3000000000000114,187.118729757356,35.22550004891864,8.0472544202704,0.024945713074810603,0.00013119515639695682,0.010279983899230866,0.011758036063779422,0.0308399516976926,0.11271300945757032,1.0320440417247538,0.04141917363367419,0.05824904317862334,0.10603173491002907,0.12425752090102257
