,filename,duration,meanF0,stdevF0,hnr,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer
0,911Mothers_2010W,343.8900000000001,192.0816347118565,36.83923250863276,10.996095591374255,0.023023799312989625,0.00012146858732148566,0.011177197818377484,0.012090581690370665,0.033531593455132555,0.11307850992105467,1.1408901381525778,0.05272029169101109,0.0709769281573951,0.11204754584557032,0.15816087507303336
1,AJJacobs_2007P,955.2399999999996,158.77671716776064,32.0055563920771,9.173821422656353,0.01626802673163926,0.00010341995498682244,0.005897519783904996,0.006615851633318404,0.017692559351715088,0.10647819276487577,1.041411805770552,0.046154237429813345,0.05917906395030286,0.098608214049345,0.1384627122894402
2,AJJacobs_2011P,420.7500000000002,169.3201669285976,34.494579126479444,11.210682300614307,0.020544517456946222,0.00012206707711874272,0.008003081714340403,0.008970821637919391,0.024009245143021305,0.09775532433275817,0.9517221727463953,0.039496760663725095,0.05348817994826822,0.08912402719121622,0.1184902819911754
3,AJJacobs_2014A,508.96,189.95702095710047,37.45118560618975,10.781180445893368,0.016620378704101584,8.818873495287386e-05,0.005741391231758258,0.006770132708752964,0.017224173695274878,0.09886842122853236,0.994126095263277,0.03953394555048688,0.054624434274839095,0.09494202969326289,0.11860183665146079
4,AalaElKhani_2016X,786.9600000000006,244.58980423279448,40.16649321916038,12.47615896384749,0.022858836667344663,9.416122203536821e-05,0.010836275183507897,0.01262657711476001,0.032508825550523764,0.11134343870443951,1.125483489486909,0.04809688671425988,0.0698065949024705,0.11518290148341158,0.1442906601427798
5,AaronHuey_2010X,795.1999999999998,140.56885045989503,18.29681016329614,8.180549295086795,0.023077838908363256,0.00016533669035101423,0.009850469717855975,0.012114761745316617,0.029551409153568034,0.12187904798605488,1.1424955745214354,0.052247798435004975,0.0719851798982791,0.11877800398206632,0.15674339530501497
6,AaronKoblin_2011,833.33,141.0380998769535,25.17044003425342,9.410699225471783,0.025486984580382885,0.0001814623585420025,0.011629409847784542,0.014350273706497878,0.034888229543353695,0.12654542918922876,1.193284102670405,0.05679210994639487,0.08030750806128355,0.13158503212420483,0.17037632983918471
7,AaronOConnell_2011,428.6400000000002,121.76969859856176,30.58574210884863,8.042359993948212,0.027820598041671467,0.00023124766546870091,0.011809835175824221,0.014741492417265585,0.03542950552747276,0.1250240240725054,1.1744917473296026,0.05823743181975111,0.08086307754443663,0.12164429963259754,0.17471229545925332
8,AbeDavis_2015,838.6300000000007,205.8574741338498,58.22512336803101,8.384705729454685,0.02729118426434373,0.00013379923284292307,0.011576175479148888,0.013445086487460109,0.03472852643744678,0.12067563534704719,1.166529950771711,0.05419657126308269,0.07490647742502603,0.11771016592407033,0.16258971378924822
9,AbhaDawesar_2013G,664.7300000000004,254.71942068227068,45.19186034187432,14.991570692370896,0.01573174825607219,6.244813898261689e-05,0.006257794167487332,0.007076661203827054,0.018773382502462087,0.09220586478734905,0.9031825679357073,0.03420743005639037,0.04910480085353001,0.08922035215244135,0.1026222901691712
